"phenocode","phenostring"
"ACR_FA","mean FA of anterior corona radiata"
"ALIC_FA","mean FA of anterior limb of internal capsule"
"Average_FA","average FA across all the 21 white matter tracts"
"BCC_FA","mean FA of body of corpus callosum"
"CGC_FA","mean FA of cingulum (cingulate gyrus) "
"CGH_FA","mean FA of cingulum (hippocampus) "
"CST_FA","mean FA of corticospinal tract "
"EC_FA","mean FA of external capsule "
"FX_FA","mean FA of fornix (column and body of fornix)"
"FXST_FA","mean FA of fornix-stria terminalis "
"GCC_FA","mean FA of genu of corpus callosum"
"IFO_FA","mean FA of inferior fronto-occipital fasciculus"
"PCR_FA","mean FA of posterior corona radiata "
"PLIC_FA","mean FA of posterior limb of internal capsule"
"PTR_FA","mean FA of posterior thalamic radiation"
"RLIC_FA","mean FA of retrolenticular part of internal capsule"
"SCC_FA","mean FA of splenium of corpus callosum"
"SCR_FA","mean FA of superior corona radiata"
"SFO_FA","mean FA of sperior fronto-occipital fasciculus"
"SLF_FA","mean FA of superior longitudinal fasciculus"
"SS_FA","mean FA of sagittal stratum"
"UNC_FA","mean AD of uncinate fasciculus"
"ACR_AD","mean AD of anterior corona radiata"
"ALIC_AD","mean AD of anterior limb of internal capsule"
"Average_AD","average AD across all the 21 white matter tracts"
"BCC_AD","mean AD of body of corpus callosum"
"CGC_AD","mean AD of cingulum (cingulate gyrus) "
"CGH_AD","mean AD of cingulum (hippocampus) "
"CST_AD","mean AD of corticospinal tract "
"EC_AD","mean AD of external capsule "
"FX_AD","mean AD of fornix (column and body of fornix)"
"FXST_AD","mean AD of fornix-stria terminalis "
"GCC_AD","mean AD of genu of corpus callosum"
"IFO_AD","mean AD of inferior fronto-occipital fasciculus"
"PCR_AD","mean AD of posterior corona radiata "
"PLIC_AD","mean AD of posterior limb of internal capsule"
"PTR_AD","mean AD of posterior thalamic radiation"
"RLIC_AD","mean AD of retrolenticular part of internal capsule"
"SCC_AD","mean AD of splenium of corpus callosum"
"SCR_AD","mean AD of superior corona radiata"
"SFO_AD","mean AD of sperior fronto-occipital fasciculus"
"SLF_AD","mean AD of superior longitudinal fasciculus"
"SS_AD","mean AD of sagittal stratum"
"UNC_AD","mean AD of uncinate fasciculus"
"ACR_MD","mean MD of anterior corona radiata"
"ALIC_MD","mean MD of anterior limb of internal capsule"
"Average_MD","average MD across all the 21 white matter tracts"
"BCC_MD","mean MD of body of corpus callosum"
"CGC_MD","mean MD of cingulum (cingulate gyrus) "
"CGH_MD","mean MD of cingulum (hippocampus) "
"CST_MD","mean MD of corticospinal tract "
"EC_MD","mean MD of external capsule "
"FX_MD","mean MD of fornix (column and body of fornix)"
"FXST_MD","mean MD of fornix-stria terminalis "
"GCC_MD","mean MD of genu of corpus callosum"
"IFO_MD","mean MD of inferior fronto-occipital fasciculus"
"PCR_MD","mean MD of posterior corona radiata "
"PLIC_MD","mean MD of posterior limb of internal capsule"
"PTR_MD","mean MD of posterior thalamic radiation"
"RLIC_MD","mean MD of retrolenticular part of internal capsule"
"SCC_MD","mean MD of splenium of corpus callosum"
"SCR_MD","mean MD of superior corona radiata"
"SFO_MD","mean MD of sperior fronto-occipital fasciculus"
"SLF_MD","mean MD of superior longitudinal fasciculus"
"SS_MD","mean MD of sagittal stratum"
"UNC_MD","mean MD of uncinate fasciculus"
"ACR_MO","mean MO of anterior corona radiata"
"ALIC_MO","mean MO of anterior limb of internal capsule"
"Average_MO","average MO across all the 21 white matter tracts"
"BCC_MO","mean MO of body of corpus callosum"
"CGC_MO","mean MO of cingulum (cingulate gyrus) "
"CGH_MO","mean MO of cingulum (hippocampus) "
"CST_MO","mean MO of corticospinal tract "
"EC_MO","mean MO of external capsule "
"FX_MO","mean MO of fornix (column and body of fornix)"
"FXST_MO","mean MO of fornix-stria terminalis "
"GCC_MO","mean MO of genu of corpus callosum"
"IFO_MO","mean MO of inferior fronto-occipital fasciculus"
"PCR_MO","mean MO of posterior corona radiata "
"PLIC_MO","mean MO of posterior limb of internal capsule"
"PTR_MO","mean MO of posterior thalamic radiation"
"RLIC_MO","mean MO of retrolenticular part of internal capsule"
"SCC_MO","mean MO of splenium of corpus callosum"
"SCR_MO","mean MO of superior corona radiata"
"SFO_MO","mean MO of sperior fronto-occipital fasciculus"
"SLF_MO","mean MO of superior longitudinal fasciculus"
"SS_MO","mean MO of sagittal stratum"
"UNC_MO","mean MO of uncinate fasciculus"
"ACR_RD","mean RD of anterior corona radiata"
"ALIC_RD","mean RD of anterior limb of internal capsule"
"Average_RD","average MO across all the 21 white matter tracts"
"BCC_RD","mean RD of body of corpus callosum"
"CGC_RD","mean RD of cingulum (cingulate gyrus) "
"CGH_RD","mean RD of cingulum (hippocampus) "
"CST_RD","mean RD of corticospinal tract "
"EC_RD","mean RD of external capsule "
"FX_RD","mean RD of fornix (column and body of fornix)"
"FXST_RD","mean RD of fornix-stria terminalis "
"GCC_RD","mean RD of genu of corpus callosum"
"IFO_RD","mean RD of inferior fronto-occipital fasciculus"
"PCR_RD","mean RD of posterior corona radiata "
"PLIC_RD","mean RD of posterior limb of internal capsule"
"PTR_RD","mean RD of posterior thalamic radiation"
"RLIC_RD","mean RD of retrolenticular part of internal capsule"
"SCC_RD","mean RD of splenium of corpus callosum"
"SCR_RD","mean RD of superior corona radiata"
"SFO_RD","mean RD of sperior fronto-occipital fasciculus"
"SLF_RD","mean RD of superior longitudinal fasciculus"
"SS_RD","mean RD of sagittal stratum"
"UNC_RD","mean RD of uncinate fasciculus"
"FA_ACR_PC1","first FA PC in anterior corona radiata"
"FA_ACR_PC2","second FA PC in anterior corona radiata"
"FA_ACR_PC3","third FA PC in anterior corona radiata"
"FA_ACR_PC4","fourth FA PC in anterior corona radiata"
"FA_ACR_PC5","fifth FA PC in anterior corona radiata"
"FA_ALIC_PC1","first FA PC in anterior limb of internal capsule"
"FA_ALIC_PC2","second FA PC in anterior limb of internal capsule"
"FA_ALIC_PC3","third FA PC in anterior limb of internal capsule"
"FA_ALIC_PC4","fourth FA PC in anterior limb of internal capsule"
"FA_ALIC_PC5","fifth FA PC in anterior limb of internal capsule"
"FA_BCC_PC1","first FA PC in body of corpus callosum"
"FA_BCC_PC2","second FA PC in body of corpus callosum"
"FA_BCC_PC3","third FA PC in body of corpus callosum"
"FA_BCC_PC4","fourth FA PC in body of corpus callosum"
"FA_BCC_PC5","fifth FA PC in body of corpus callosum"
"FA_CGC_PC1","first FA PC in cingulum (cingulate gyrus) "
"FA_CGC_PC2","second FA PC in cingulum (cingulate gyrus) "
"FA_CGC_PC3","third FA PC in cingulum (cingulate gyrus) "
"FA_CGC_PC4","fourth FA PC in cingulum (cingulate gyrus) "
"FA_CGC_PC5","fifth FA PC in cingulum (cingulate gyrus) "
"FA_CGH_PC1","first FA PC in cingulum (hippocampus) "
"FA_CGH_PC2","second FA PC in cingulum (hippocampus) "
"FA_CGH_PC3","third FA PC in cingulum (hippocampus) "
"FA_CGH_PC4","fourth FA PC in cingulum (hippocampus) "
"FA_CGH_PC5","fifth FA PC in cingulum (hippocampus) "
"FA_CST_PC1","first FA PC in corticospinal tract "
"FA_CST_PC2","second FA PC in corticospinal tract "
"FA_CST_PC3","third FA PC in corticospinal tract "
"FA_CST_PC4","fourth FA PC in corticospinal tract "
"FA_CST_PC5","fifth FA PC in corticospinal tract "
"FA_EC_PC1","first FA PC in external capsule "
"FA_EC_PC2","second FA PC in external capsule "
"FA_EC_PC3","third FA PC in external capsule "
"FA_EC_PC4","fourth FA PC in external capsule "
"FA_EC_PC5","fifth FA PC in external capsule "
"FA_FX_PC1","first FA PC in fornix (column and body of fornix)"
"FA_FX_PC2","second FA PC in fornix (column and body of fornix)"
"FA_FX_PC3","third FA PC in fornix (column and body of fornix)"
"FA_FX_PC4","fourth FA PC in fornix (column and body of fornix)"
"FA_FX_PC5","fifth FA PC in fornix (column and body of fornix)"
"FA_FXST_PC1","first FA PC in fornix-stria terminalis"
"FA_FXST_PC2","second FA PC in fornix-stria terminalis"
"FA_FXST_PC3","third FA PC in fornix-stria terminalis"
"FA_FXST_PC4","fourth FA PC in fornix-stria terminalis"
"FA_FXST_PC5","fifth FA PC in fornix-stria terminalis"
"FA_GCC_PC1","first FA PC in genu of corpus callosum"
"FA_GCC_PC2","second FA PC in genu of corpus callosum"
"FA_GCC_PC3","third FA PC in genu of corpus callosum"
"FA_GCC_PC4","fourth FA PC in genu of corpus callosum"
"FA_GCC_PC5","fifth FA PC in genu of corpus callosum"
"FA_IFO_PC1","first FA PC in inferior fronto-occipital fasciculus"
"FA_IFO_PC2","second FA PC in inferior fronto-occipital fasciculus"
"FA_IFO_PC3","third FA PC in inferior fronto-occipital fasciculus"
"FA_IFO_PC4","fourth FA PC in inferior fronto-occipital fasciculus"
"FA_IFO_PC5","fifth FA PC in inferior fronto-occipital fasciculus"
"FA_PCR_PC1","first FA PC in posterior corona radiata "
"FA_PCR_PC2","second FA PC in posterior corona radiata "
"FA_PCR_PC3","third FA PC in posterior corona radiata "
"FA_PCR_PC4","fourth FA PC in posterior corona radiata "
"FA_PCR_PC5","fifth FA PC in posterior corona radiata "
"FA_PLIC_PC1","first FA PC in posterior limb of internal capsule"
"FA_PLIC_PC2","second FA PC in posterior limb of internal capsule"
"FA_PLIC_PC3","third FA PC in posterior limb of internal capsule"
"FA_PLIC_PC4","fourth FA PC in posterior limb of internal capsule"
"FA_PLIC_PC5","fifth FA PC in posterior limb of internal capsule"
"FA_PTR_PC1","first FA PC in posterior thalamic radiation"
"FA_PTR_PC2","second FA PC in posterior thalamic radiation"
"FA_PTR_PC3","third FA PC in posterior thalamic radiation"
"FA_PTR_PC4","fourth FA PC in posterior thalamic radiation"
"FA_PTR_PC5","fifth FA PC in posterior thalamic radiation"
"FA_RLIC_PC1","first FA PC in retrolenticular part of internal capsule"
"FA_RLIC_PC2","second FA PC in retrolenticular part of internal capsule"
"FA_RLIC_PC3","third FA PC in retrolenticular part of internal capsule"
"FA_RLIC_PC4","fourth FA PC in retrolenticular part of internal capsule"
"FA_RLIC_PC5","fifth FA PC in retrolenticular part of internal capsule"
"FA_SCC_PC1","first FA PC in splenium of corpus callosum"
"FA_SCC_PC2","second FA PC in splenium of corpus callosum"
"FA_SCC_PC3","third FA PC in splenium of corpus callosum"
"FA_SCC_PC4","fourth FA PC in splenium of corpus callosum"
"FA_SCC_PC5","fifth FA PC in splenium of corpus callosum"
"FA_SCR_PC1","first FA PC in superior corona radiata"
"FA_SCR_PC2","second FA PC in superior corona radiata"
"FA_SCR_PC3","third FA PC in superior corona radiata"
"FA_SCR_PC4","fourth FA PC in superior corona radiata"
"FA_SCR_PC5","fifth FA PC in superior corona radiata"
"FA_SFO_PC1","first FA PC in superior fronto-occipital fasciculus"
"FA_SFO_PC2","second FA PC in superior fronto-occipital fasciculus"
"FA_SFO_PC3","third FA PC in superior fronto-occipital fasciculus"
"FA_SFO_PC4","fourth FA PC in superior fronto-occipital fasciculus"
