"phenocode","phenostring","category"
"left.caudal.anterior.cingulate","left.caudal.anterior.cingulate","Volume"
"left.caudal.middle.frontal","left.caudal.middle.frontal","Volume"
"left.cuneus","left.cuneus","Volume"
"left.entorhinal","left.entorhinal","Volume"
"left.fusiform","left.fusiform","Volume"
"left.inferior.parietal","left.inferior.parietal","Volume"
"left.inferior.temporal","left.inferior.temporal","Volume"
"left.isthmus.cingulate","left.isthmus.cingulate","Volume"
"left.lateral.occipital","left.lateral.occipital","Volume"
"left.lateral.orbitofrontal","left.lateral.orbitofrontal","Volume"
"left.lingual","left.lingual","Volume"
"left.medial.orbitofrontal","left.medial.orbitofrontal","Volume"
"left.middle.temporal","left.middle.temporal","Volume"
"left.parahippocampal","left.parahippocampal","Volume"
"left.paracentral","left.paracentral","Volume"
"left.pars.opercularis","left.pars.opercularis","Volume"
"left.pars.orbitalis","left.pars.orbitalis","Volume"
"left.pars.triangularis","left.pars.triangularis","Volume"
"left.pericalcarine","left.pericalcarine","Volume"
"left.postcentral","left.postcentral","Volume"
"left.posterior.cingulate","left.posterior.cingulate","Volume"
"left.precentral","left.precentral","Volume"
"left.precuneus","left.precuneus","Volume"
"left.rostral.anterior.cingulate","left.rostral.anterior.cingulate","Volume"
"left.rostral.middle.frontal","left.rostral.middle.frontal","Volume"
"left.superior.frontal","left.superior.frontal","Volume"
"left.superior.parietal","left.superior.parietal","Volume"
"left.superior.temporal","left.superior.temporal","Volume"
"left.supramarginal","left.supramarginal","Volume"
"left.transverse.temporal","left.transverse.temporal","Volume"
"left.insula","left.insula","Volume"
"right.caudal.anterior.cingulate","right.caudal.anterior.cingulate","Volume"
"right.caudal.middle.frontal","right.caudal.middle.frontal","Volume"
"right.cuneus","right.cuneus","Volume"
"right.entorhinal","right.entorhinal","Volume"
"right.fusiform","right.fusiform","Volume"
"right.inferior.parietal","right.inferior.parietal","Volume"
"right.inferior.temporal","right.inferior.temporal","Volume"
"right.isthmus.cingulate","right.isthmus.cingulate","Volume"
"right.lateral.occipital","right.lateral.occipital","Volume"
"right.lateral.orbitofrontal","right.lateral.orbitofrontal","Volume"
"right.lingual","right.lingual","Volume"
"right.medial.orbitofrontal","right.medial.orbitofrontal","Volume"
"right.middle.temporal","right.middle.temporal","Volume"
"right.parahippocampal","right.parahippocampal","Volume"
"right.paracentral","right.paracentral","Volume"
